Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"Unfortunately, for far too many, focused learning ends at college graduation. They read about stocks and bonds instead of reading books that improve their mind. They compare their cash salary to their peers’ instead of comparing lessons learned. They invest in the stock market and neglect investing in themselves. They focus, in short, on hard assets instead of soft assets. This is a mistake. We’re not suggesting you be a starving, unshaven graduate student forever; you do need to earn money and build economic assets. ////// But as much as you can, prioritize plans that offer the best chance at learning about yourself and the world. Not only will you make more money in the long run, but your career journey will be more fulfilling. Ask yourself, “Which plan will grow my soft assets the fastest?” Even simpler: “Which plan offers the most learning potential?” /////",Career,"August 29, 2023","January 9, 2023",1 Days,120 Days,2 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days
"For careers, too, you don’t know what the best plan is until you try.",Career,"October 5, 2023","January 9, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
"Not sure if you can break into the pharmaceutical industry? Spend six months interning at Pfizer making connections and see what happens. Curious whether marketing or product development is a better fit than what you currently do? If you work in a company where those functions exist, offer to help out for free. Whatever the situation, actions, not plans, generate lessons that help you test your hypotheses against reality. Actions help you discover where you want to go and how to get there.",Career,"October 5, 2023","January 9, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
"Planning and adapting means thinking carefully about your future. Lunging at the first well-paid and/or high-status job you come upon may offer immediate gratification, but it won’t get you any closer to building a meaningful career.",Career,"March 28, 2026","January 9, 2023",2Days,365 Days,5 Days,5 Days,7 Days,15 Days,15 Days,30 Days,365 Days,365 Days
A goal that can be achieved in a single step is probably not very meaningful—or ambitious.,Career,"August 29, 2023","January 9, 2023",1 Days,120 Days,2 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,30 Days
"“If you study the root causes of business disasters, over and over, you’ll find [a] predisposition toward endeavors that offer immediate gratification.”",Mindset,"September 29, 2024","January 9, 2023",5 Days,365 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days
"At an online, multimedia magazine, Gaines had a lot to learn. And there was no formal training or classes. His youthful subordinates were his on-the-job teachers, instructing him on how to do video editing, audio editing, understand MySQL databases, and learn the pros and cons of other Internet protocols. To hear Gaines tell it, you’d think picking up these new skills was a piece of cake. But think about his ego. He had decades of experience. A long list of accomplishments. Yet he found himself, in a sense, powerless and young again. It was Day 1 for Gaines. He was in permanent beta.",Career,"September 29, 2024","January 9, 2023",5 Days,365 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days
What you are doing—what you should be doing—is establishing a diverse team of allies and advisors with whom you grow over time.,Friendship,"September 13, 2023","January 9, 2023",7 Days,,15 Days,15 Days,30 Days,60 Days,120 Days,,,
"The word company is derived from the Latin cum and pane, which means “breaking bread together.”",Networking,"October 5, 2023","January 9, 2023",7 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
There’s a good reason: a slightly less-competent person who gets along with others and contributes on a team can be better for the company than somebody who’s 100 percent competent but isn’t a team player.,Attitude,"October 17, 2024","January 9, 2023",5 Days,,7 Days,15 Days,15 Days,30 Days,30 Days,60 Days,120 Days,365 Days
"Behavior and beliefs are contagious: you easily “catch” the emotional state of your friends, imitate their actions, and absorb their values as your own.2 If your friends are the types of people who get stuff done, chances are you’ll be that way, too. The fastest way to change yourself is to hang out with people who are already the way you want to be.",Networking,"October 28, 2023","January 9, 2023",7 Days,,15 Days,30 Days,60 Days,60 Days,120 Days,,,
"Typically, all kinds of individual attributes pepper explanations of a person’s success. Books that promise to improve your life are shelved under “self-help.” Seminars that promise to teach you how to be successful are considered personal development. Business schools rarely teach relationship-building skills. It’s all about me, me, me, me. Why do we rarely talk about the friends, allies, and colleagues who make us who we are?",Networking,"August 14, 2023","January 9, 2023",7 Days,,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,,
That’s because the best way to engage new people is via the people you already know.,Networking,"September 18, 2025","January 10, 2023",365 Days,,5 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days,365 Days
