Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"We have noticed the most successful founders are the sort of people who are
low-stress to work with because you feel “he or she will get it done, no
matter what it is.” ",,,,,,,,,,,,,
"You want someone you know well, not someone you just met at a cofounder dating thing. You can evaluate anyone you might work with better with more data, and you really don’t want to get this one wrong. ///Cofounder breakups are one of the leading causes of death for early
startups, and we see them happen very, very frequently in cases where the
founders met for the express purpose of starting the company.",Start Up,"June 25, 2025","April 26, 2025",60 Days,,,,,,,,,
"If you do not build a product users love you will eventually fail. Yet
founders always look for some other trick. Startups are the point in your life
when tricks stop working. A great product is the only way to grow long-term. Eventually your
company will get so big that all growth hacks stop working and you have to
grow by people wanting to use your product. This is the most important
thing to understand about super-successful companies. There is no other
way. Think about all of the really successful technology companies—they
all do this.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"You want to build a “product improvement engine” in your company. You should talk to your users and watch them use your product, figure out what parts are sub-par, and then make your product better. Then do it again. This cycle should be the number one focus of the company, and it should drive everything else. If you improve your product 5% every week, it will really compound. The faster the repeat rate of this cycle, the better the company usually turns out. //// During YC, we tell founders they should be building product and talking to users, and not much else besides eating, sleeping, exercising, and spending time with their loved ones.////You should not put anyone between the founders and the users for as long as possible—that means the founders need to do sales, customer support, etc.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"“Do things that don’t scale” has rightfully become a mantra for startups. You usually need to recruit initial users one at a time (Ben Silbermann used to approach strangers in coffee shops in Palo Alto and ask them to try Pinterest) and then build things they ask for. Many founders hate this part, and just want to announce their product in the press. But that almost never works. Recruit users manually, and make the product so good the users you recruit tell their friends.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"The best founders seem to care a little bit too much about product quality, even for seemingly unimportant details. But it seems to work. By the way, “product” includes all interactions a user has with the company. You need to offer great support, great sales interactions, etc. /////Remember, if you haven’t made a great product, nothing else will save you.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"Growth olves all problems, and lack of growth is not solvable by anything but growth. If you’re growing, it feels like you’re winning, and people are happy.////// If you’re growing, there are new roles and responsibilities all the time, and people feel like their careers are advancing.///// If you’re not growing, it feels like you’re losing, and people are unhappy and leave. If you’re not growing, people just fight over responsibilities and blame.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"Keep a list of what’s blocking growth. Talk as a company about how you could grow faster. If you know what the limiters are, you’ll naturally think about how to address them. For anything you consider doing, ask yourself “Is this the best way to optimize growth?” ////// For example, going to a conference is not usually the best way to optimize growth, unless you expect to sell a lot there.",Start Up,"June 26, 2025","April 27, 2025",60 Days,,,,,,,,,
"Speaking of metrics, don’t fool yourself with vanity metrics. The common
mistake here is to focus on signups and ignore retention. But retention is as
important to growth as new user acquisition. ///// It’s also important to establish an internal cadence to keep momentum. You want to have a “drumbeat” of progress—new features, customers, hires, revenue milestones, partnerships, etc that you can talk about internally and externally.//// You should set aggressive but borderline achievable goals and review progress every month. Celebrate wins! Talk internally about strategy all the time, tell everyone what you’re hearing from customers, etc. The more information you share internally—good and bad—the better you’ll be.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"Counterintuitively, it turns out that it’s good if you’re growing fast but nothing is optimized—all you need to do is fix it to get more growth! My favorite investments are in companies that are growing really fast but incredibly un-optimized—they are deeply undervalued.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"Common examples are deals with other companies and the “big press launch”. Beware of these and understand that they effectively never work. ////Instead get growth the same way all great companies have—by building a product users love, recruiting users manually first, and then testing lots of growth strategies (ads, referral programs, sales and marketing, etc.) and doing more of what works. Ask your customers where you can find more people like them.",Start Up,"April 27, 2025","April 27, 2025",,,,,,,,,,
"If I had to distill my advice about how to operate down to only two words, I’d pick focus and intensity. These words seem to really apply to the best founders I know. They are relentlessly focused on their product and growth. They don’t try to do everything—in fact, they say no a lot (this is hard because the sort of people that start companies are the sort of people that like doing new things.)////Focus and intensity will win out in the long run. (Charlie Rose once said that things get done in the world through a combination of focus and personal connections, and that’s always stuck with me.)",Start Up,"May 2, 2025","April 27, 2025",5 Days,,,,,,,,,
"As a general rule, don’t let your company start doing the next thing until
you’ve dominated the first thing. No great company I know of started doing
multiple things at once—they start with a lot of conviction about one thing,
and see it all the way through. You can do far fewer things than you think.",Start Up,"May 4, 2025","April 27, 2025",7 Days,,,,,,,,,
"While great founders don’t do many big projects, they do whatever they do very intensely. They get things done very quickly. They are decisive, which is hard when you’re running a startup—you will get a lot of conflicting advice. /// Please note that this doesn’t mean doing everything intensely—that’s impossible. You have to pick the right things. As Paul Buchheit says, find ways to get 90% of the value with 10% of the effort. The market doesn’t care how hard you work—it only cares if you do the right things.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"It’s very hard to be both obsessed with product quality and move very quickly. But it’s one of the most obvious tells of a great founder. I have never, not once, seen a slow-moving founder be really successful.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"Don’t get caught up in early success—you didn’t get off to a promising start by going to lots of networking events and speaking on lots of panels. Startup founders who start to have initial success have a choice of two paths: either they keep doing what they’re doing, or they start spending a lot of time thinking about their “personal brand” and enjoying the status of being a founder.///",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"It’s hard to turn down the conferences and the press profiles—they feel good, and it’s especially hard to watch other founders in your space get the attention. But this won’t last long. Eventually the press figures out who is actually winning, and if your company is a real success, you’ll have more attention than you’ll ever want.",Start Up,"May 2, 2025","April 27, 2025",5 Days,,,,,,,,,
"A CEO has to 1) set the vision and strategy for the company, 2) evangelize the company to everyone, 3) hire and manage the team, especially in areas where you yourself have gaps 4) raise money and make sure the company does not run out of money, and 5) set the execution quality bar. In addition to these, find whatever parts of the business you love the most, and stay engaged there.",Start Up,"May 2, 2025","April 27, 2025",5 Days,,,,,,,,,
"As I mentioned at the beginning, Startup is an intense job. If you are successful, it
will take over your life to a degree you cannot imagine—the company will
be on your mind all the time.",Start Up,"May 4, 2025","April 27, 2025",7 Days,,,,,,,,,
"A successful startup takes a very long time—certainly much longer than most founders think at the outset. You cannot treat it as an all-nighter. You have to eat well, sleep well, and exercise. You have to spend time with your family and friends. You also need to work in an area you’re actually passionate about—nothing else will sustain you for ten years.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"Everything will feel broken all the time—the diversity and magnitude of the
disasters will surprise you. Your job is to fix them with a smile on your face
and reassure your team that it’ll all be ok. Usually things aren’t as bad as
they seem, but sometimes they are in fact really bad. In any case, just keep
going. Keep growing.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"People who let themselves make a lot of excuses usually fail in general, and startup CEOs who do it almost always fail. Let yourself feel upset at the injustice for 1 minute, and then realize that it’s up to you to figure out a solution. ///// Strive for people to say “X just somehow always gets things done” when talking about you.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"A surprising amount of our advice at YC is of the form “just ask them” or
“just do it”. First-time founders think there must be some secret for when
you need something from someone or you want to do some new thing. But
again, startups are where tricks stop working. Just be direct, be willing to
ask for what you want, and don’t be a jerk.",Start Up,"May 4, 2025","April 27, 2025",7 Days,,,,,,,,,
"Be persistent. Most founders give up too quickly or move on to the next product too quickly. If things generally aren’t going well, figure out what the root cause of the problem is and make sure you address that. A huge part of being a successful startup CEO is not giving up",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"Another cliché that I think is worth repeating: Building a company is
somewhat like building a religion. If people don’t connect what they’re
doing day-to-day with a higher purpose they care about, they will not do a
great job.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"My first piece of advice about hiring is don’t do it. The most successful companies we’ve worked with at YC have waited a relatively long time to start hiring employees. Employees are expensive. Employees add organizational complexity and communication overhead. There are things you can say to your cofounders that you cannot say with employees in the room.//// The best people have a lot of opportunities. They want to join rocket ships. If you have nothing, it’s hard to hire them. Once you’re obviously winning, they’ll want to come join you.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"Good and bad people are both infectious, and if you start with mediocre people, the average does not usually trend up. Companies that start off with mediocre early employees almost never recover. Trust your gut on people. If you have doubt, then the answer is no. ///Value aptitude over experience for almost all roles. Look for raw intelligence and a track record of getting things done.",Start Up,"May 4, 2025","April 27, 2025",7 Days,,,,,,,,,
"Speaking of managing, try hard to have everyone in the same office. For some reason, startups always compromise on this. But nearly all of the most successful startups started off all together. I think remote work can work well for larger companies but it has not been a recipe for massive success for startups.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
"ABOUT COMPETITORS - First-time founders think they are what kill 99% of startups. But 99% of startups die from suicide, not murder. Worry instead about all of your internal problems. If you fail, it will very likely be because you failed to make a great product and/or failed to make a great company.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"99% of the time, you should ignore competitors. Especially ignore them when they raise a lot of money or make a lot of noise in the press. In the words of Henry Ford: ""The competitor to be feared is one who never bothers about you at all, but goes on making his own business better all the time.”",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"The “really successful” part is important— because investors’ returns are dominated by the big successes, if an investor believes you have a 100% chance of creating a $10 million company but almost no chance of building a larger company, he/she will still probably not invest even at a very low valuation. Always explain why you could be a huge success.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"ON FINDING INVESTOR - Investors are driven by the dual fears of missing the next Google, and fear
of losing money on something that in retrospect looks obviously stupid. It is a bad idea to try to raise money when your company isn’t in good enough shape to attract capital. You will burn reputation and waste time. /// It’s beginning to change, but most investors (Y Combinator being a notable
exception) unfortunately still require introductions from people you both
know to take you seriously.////Good investors really do add a lot of value. Bad investors detract a lot. Most investors fall in the middle and neither add nor detract.",Start Up,"May 27, 2025","April 27, 2025",30 Days,,,,,,,,,
ON FINDING INVESTOR - Remember that most VCs don’t know much about most industries. Metrics are always the most convincing.  It’s really important to have fundraising conversations in parallel—don’t go down a list of your favorite investors sequentially. The way to get investors to act is fear of other investors taking away their opportunity.,Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"An important key to being good at pitching is to make your story as clear and easy to understand as possible. Of course, the most important key is to actually have a good company. There are lots of thoughts about what to include in a pitch, but at a minimum you need to have: mission, problem, product/service, business model, team, market and market growth rate, and financials.",Start Up,"May 12, 2025","April 27, 2025",15 Days,,,,,,,,,
"Remember that at least a thousand people have every great idea. One of them actually becomes successful. The difference comes down to execution. It’s a grind, and everyone wishes there were some other way to transform “idea” into “success”, but no one has figured it out yet. So all you need is a great idea, a great team, a great product, and great execution. So easy! ;)",Start Up,"May 4, 2025","April 27, 2025",7 Days,,,,,,,,,
"you're searching for truth, not trying to be right",Product Management,"July 18, 2025","June 18, 2025",30 Days,,,,,,,,,
"A formidable person is one who seems like they'll get what they want, regardless of whatever obstacles are in the way. Formidable is close to confident, except that someone could be confident and mistaken. Formidable is roughly justifiably confident.",Start Up,"January 17, 2026","December 18, 2025",30 Days,,,,,,,,,
"Growth is why startups usually work on technology — because ideas for fast growing companies are so rare that the best way to find new ones is to discover those recently made viable by change, and technology is the best source of rapid change. Growth is why it's a rational choice economically for so many founders to try starting a startup: growth makes the successful companies so valuable that the expected value is high even though the risk is too. Growth is why VCs want to invest in startups: not just because the returns are high but also because generating returns from capital gains is easier to manage than generating returns from dividends. Growth explains why the most successful startups take VC money even if they don't need to: it lets them choose their growth rate. And growth explains why successful startups almost invariably get acquisition offers. To acquirers a fast-growing company is not merely valuable but dangerous too",Start Up,"January 9, 2026","January 2, 2026",7 Days,,,,,,,,,
"I make sure to leave enough time in my schedule to think about what to work on.  The best ways for me to do this are reading books, hanging out with interesting people, and spending time in nature. - SA",Productivity,"February 16, 2026","January 17, 2026",30 Days,,,,,,,,,
"I’ve learned that I can’t be very productive working on things I don’t care about or don’t like.  So I just try not to put myself in a position where I have to do them (by delegating, avoiding, or something else).  Stuff that you don’t like is a painful drag on morale and momentum.",Productivity,"January 17, 2026","January 17, 2026",,,,,,,,,,
Picking the right thing to work on is the most important element of productivity and usually almost ignored.  So think about it more!  Independent thought is hard but it’s something you can get better at with practice.,Productivity,"January 17, 2026","January 17, 2026",,,,,,,,,,
